t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
3.0,0.006423,3.123e-16,2.22e-16,0.02587,16380.0,1.526e-05,isoAlpha,32,38.654812524159254
3.0,0.002033,2.233e-15,9.704e-13,0.01298,131100.0,1.907e-06,isoAlpha,64,77.04160246533128
3.0,0.0003371,1.245e-14,6.764e-12,0.0065,1049000.0,2.384e-07,isoAlpha,128,153.84615384615384
3.0,0.006503,2.082e-16,2.22e-16,0.02587,16380.0,1.526e-05,plicRDF,32,38.654812524159254
3.0,0.002016,1.837e-15,8.845e-14,0.01298,131100.0,1.907e-06,plicRDF,64,77.04160246533128
3.0,0.0003527,1.265e-14,3.205e-14,0.0065,1049000.0,2.384e-07,plicRDF,128,153.84615384615384
3.0,0.01032,2.082e-17,0.0008192,0.02587,16380.0,1.526e-05,MULES,32,38.654812524159254
3.0,0.005883,1.017e-15,0.01521,0.01298,131100.0,1.907e-06,MULES,64,77.04160246533128
3.0,0.00314,7.654e-15,0.001759,0.0065,1049000.0,2.384e-07,MULES,128,153.84615384615384
