Method,Res,value,Error
algVoF_Brackbill,10,0.40633474232062466,L2
algVoF_Brackbill,23,0.28659179370055193,L2
algVoF_Brackbill,36,0.3813490649537272,L2
algVoF_Brackbill,49,0.5347126442261569,L2
algVoF_Brackbill,62,0.7037321163608097,L2
algVoF_Brackbill,75,0.8913325831066645,L2
algVoF_Brackbill,88,1.1019590842882103,L2
algVoF_Brackbill,101,1.3598379917356596,L2
algVoF_Brackbill,114,1.7031693782462307,L2
algVoF_Brackbill,128,2.0936398416171005,L2
geoVoF_Brackbill,10,0.5540896625123368,L2
geoVoF_Brackbill,23,0.7973897660996546,L2
geoVoF_Brackbill,36,1.9985911567728052,L2
geoVoF_Brackbill,49,3.3830653220217717,L2
geoVoF_Brackbill,62,5.660035099703175,L2
geoVoF_Brackbill,75,8.48381140420955,L2
geoVoF_Brackbill,88,11.830222486721288,L2
geoVoF_Brackbill,101,15.107291806980946,L2
geoVoF_Brackbill,114,18.397100062306368,L2
geoVoF_Brackbill,128,24.165493122367867,L2
algVoF_Brackbill,10,0.8940480000000001,LMax
algVoF_Brackbill,23,0.8045486000000001,LMax
algVoF_Brackbill,36,1.0616800000000002,LMax
algVoF_Brackbill,49,1.0965599999999998,LMax
algVoF_Brackbill,62,1.406776,LMax
algVoF_Brackbill,75,1.8118580000000002,LMax
algVoF_Brackbill,88,1.6297599999999999,LMax
algVoF_Brackbill,101,1.7887,LMax
algVoF_Brackbill,114,1.9647999999999999,LMax
algVoF_Brackbill,128,2.2750320000000004,LMax
geoVoF_Brackbill,10,0.8487524000000001,LMax
geoVoF_Brackbill,23,0.8658319999999999,LMax
geoVoF_Brackbill,36,1.42026,LMax
geoVoF_Brackbill,49,1.760416,LMax
geoVoF_Brackbill,62,2.227048,LMax
geoVoF_Brackbill,75,3.3263800000000003,LMax
geoVoF_Brackbill,88,3.1386600000000002,LMax
geoVoF_Brackbill,101,3.5802,LMax
geoVoF_Brackbill,114,4.0588,LMax
geoVoF_Brackbill,128,4.844720000000001,LMax
